booking_id,user_id,listing_id,location,country_code,checkin_date,checkout_date,price_per_night,guests,room_type,created_at,cancelled,currency
B1000,U754,L257,New York,USA,10/9/2023,10/13/2023,84.88,1,Shared Room,9/24/2023,TRUE,US Dollar
B1001,U704,L416,New York,USA,1/31/2023,2/2/2023,108.17,5,Entire Home,1/17/2023,TRUE,US Dollar
B1002,U833,L479,Toronto,CAN,8/14/2023,8/22/2023,119.55,1,Entire Home,7/7/2023,FALSE,Canadian Dollar
B1003,U448,L342,Paris,FRA,8/9/2023,8/22/2023,75.55,4,Entire Home,7/18/2023,FALSE,Unknown
B1004,U967,L376,Amsterdam,NLD,9/28/2023,10/11/2023,232.43,5,Entire Home,9/25/2023,FALSE,Unknown
B1005,U180,L482,Tokyo,JPN,10/5/2024,10/15/2024,265.43,5,Entire Home,8/9/2024,TRUE,Yen
B1006,U146,L316,Tokyo,JPN,3/23/2023,4/6/2023,266.62,4,Private Room,3/8/2023,FALSE,Yen
B1007,U750,L386,Paris,FRA,1/15/2024,1/21/2024,217.54,1,Shared Room,1/1/2024,TRUE,Unknown
B1008,U646,L325,Paris,FRA,4/18/2024,4/25/2024,297.38,5,Entire Home,3/31/2024,FALSE,Unknown
B1009,U963,L228,Berlin,DEU,2/2/2023,2/15/2023,150.29,1,Entire Home,1/12/2023,FALSE,Unknown
B1010,U317,L455,Toronto,CAN,10/20/2024,10/28/2024,116.22,2,Shared Room,10/10/2024,FALSE,Canadian Dollar
B1011,U864,L499,Toronto,CAN,8/20/2024,8/27/2024,104.83,2,Shared Room,7/27/2024,FALSE,Canadian Dollar
B1012,U193,L224,San Francisco,USA,6/6/2023,6/17/2023,248.02,4,Shared Room,5/26/2023,TRUE,US Dollar
B1013,U494,L395,Amsterdam,NLD,4/24/2024,5/3/2024,292.77,1,Shared Room,4/7/2024,TRUE,Unknown
B1014,U798,L474,Tokyo,JPN,10/18/2024,10/24/2024,123.38,2,Private Room,10/10/2024,TRUE,Yen
B1015,U839,L334,Rome,ITA,7/2/2023,7/11/2023,76.6,3,Shared Room,5/4/2023,TRUE,Unknown
B1016,U256,L391,Paris,FRA,7/6/2024,7/19/2024,182.59,1,Shared Room,5/7/2024,FALSE,Unknown
B1017,U600,L209,San Francisco,USA,1/7/2024,1/21/2024,126.88,1,Entire Home,11/16/2023,TRUE,US Dollar
B1018,U187,L448,San Francisco,USA,6/29/2024,7/12/2024,82.1,4,Shared Room,6/20/2024,TRUE,US Dollar
B1019,U371,L470,Amsterdam,NLD,3/9/2024,3/13/2024,184.82,2,Shared Room,1/9/2024,FALSE,Unknown
B1020,U508,L391,Barcelona,ESP,6/13/2024,6/21/2024,111.98,1,Private Room,6/5/2024,TRUE,Unknown
B1021,U702,L483,Berlin,DEU,8/25/2024,8/29/2024,67.75,1,Entire Home,8/24/2024,TRUE,Unknown
B1022,U132,L369,San Francisco,USA,6/10/2024,6/14/2024,217.24,2,Shared Room,5/23/2024,TRUE,US Dollar
B1023,U840,L492,Amsterdam,NLD,4/29/2024,5/3/2024,168.24,4,Entire Home,3/9/2024,TRUE,Unknown
B1024,U199,L420,Sydney,AUS,3/9/2024,3/16/2024,265.96,1,Shared Room,2/8/2024,TRUE,Australian Dollar
B1025,U162,L406,Sydney,AUS,4/22/2023,4/26/2023,97.55,4,Entire Home,4/9/2023,FALSE,Australian Dollar
B1026,U287,L342,Barcelona,ESP,9/13/2023,9/27/2023,68.85,5,Entire Home,7/15/2023,TRUE,Unknown
B1027,U767,L476,New York,USA,4/6/2023,4/19/2023,109.09,4,Private Room,2/10/2023,FALSE,US Dollar
B1028,U318,L405,New York,USA,6/18/2023,6/25/2023,296.33,3,Private Room,6/17/2023,FALSE,US Dollar
B1029,U533,L484,Barcelona,ESP,6/8/2023,6/12/2023,104.43,1,Shared Room,5/20/2023,TRUE,Unknown
B1030,U865,L360,New York,USA,2/21/2023,3/3/2023,175.71,5,Entire Home,1/21/2023,TRUE,US Dollar
B1031,U620,L241,Paris,FRA,3/12/2023,3/22/2023,218.8,2,Private Room,3/7/2023,TRUE,Unknown
B1032,U683,L326,Amsterdam,NLD,8/31/2024,9/1/2024,70.5,5,Shared Room,7/22/2024,FALSE,Unknown
B1033,U367,L304,Sydney,AUS,9/2/2023,9/7/2023,82.72,3,Private Room,8/7/2023,FALSE,Australian Dollar
B1034,U869,L237,New York,USA,4/14/2024,4/24/2024,299.02,1,Shared Room,3/8/2024,TRUE,US Dollar
B1035,U618,L335,Paris,FRA,12/24/2023,12/26/2023,111.07,3,Entire Home,10/28/2023,FALSE,Unknown
B1036,U953,L478,Tokyo,JPN,9/18/2024,10/1/2024,182.24,5,Private Room,8/7/2024,TRUE,Yen
B1037,U999,L268,Tokyo,JPN,4/29/2023,5/1/2023,188.31,3,Private Room,3/12/2023,TRUE,Yen
B1038,U834,L375,Berlin,DEU,12/4/2024,12/15/2024,116,4,Private Room,10/10/2024,TRUE,Unknown
B1039,U194,L416,Tokyo,JPN,2/15/2023,2/16/2023,242.78,3,Entire Home,1/24/2023,FALSE,Yen
B1040,U664,L418,Rome,ITA,1/10/2023,1/12/2023,286.26,2,Shared Room,1/5/2023,TRUE,Unknown
B1041,U954,L389,Amsterdam,NLD,7/19/2024,7/22/2024,81.86,3,Private Room,6/21/2024,TRUE,Unknown
B1042,U466,L307,Berlin,DEU,11/13/2024,11/15/2024,245.03,4,Shared Room,10/21/2024,TRUE,Unknown
B1043,U342,L283,Paris,FRA,2/27/2024,2/28/2024,234.14,3,Private Room,2/15/2024,TRUE,Unknown
B1044,U373,L281,San Francisco,USA,1/27/2024,2/10/2024,264.65,2,Entire Home,1/24/2024,FALSE,US Dollar
B1045,U458,L356,Berlin,DEU,8/17/2023,8/18/2023,98.28,3,Private Room,7/5/2023,TRUE,Unknown
B1046,U891,L342,Sydney,AUS,10/18/2024,10/27/2024,219.88,5,Private Room,9/22/2024,TRUE,Australian Dollar
B1047,U218,L333,Paris,FRA,8/17/2024,8/22/2024,77.1,4,Private Room,8/14/2024,FALSE,Unknown
B1048,U546,L461,San Francisco,USA,1/30/2024,2/9/2024,113.68,4,Entire Home,1/17/2024,TRUE,US Dollar
B1049,U472,L420,San Francisco,USA,11/11/2024,11/17/2024,128.48,1,Shared Room,10/2/2024,FALSE,US Dollar
B1050,U619,L358,Toronto,CAN,12/1/2023,12/8/2023,123.91,2,Entire Home,10/17/2023,FALSE,Canadian Dollar
B1051,U780,L394,Paris,FRA,9/22/2024,10/2/2024,151.52,1,Private Room,9/2/2024,FALSE,Unknown
B1052,U315,L420,Amsterdam,NLD,9/13/2024,9/24/2024,166.25,4,Shared Room,8/23/2024,TRUE,Unknown
B1053,U623,L442,Paris,FRA,11/5/2024,11/7/2024,178.86,5,Private Room,10/17/2024,TRUE,Unknown
B1054,U938,L320,Tokyo,JPN,8/19/2023,9/1/2023,86.84,1,Entire Home,8/6/2023,FALSE,Yen
